sample_id,tinggi_cm,diameter_cm,jumlah_kanopi,minggu,plot
1,29,0.4,1,1,Plot 1
2,31,0.5,1,1,Plot 1
3,25,0.5,1,1,Plot 1
4,30,0.5,1,1,Plot 1
5,32,0.4,1,1,Plot 1
6,28,0.5,1,1,Plot 1
7,36,0.6,2,1,Plot 1
8,28,0.6,1,1,Plot 1
9,35,0.5,1,1,Plot 1
10,27,0.4,1,1,Plot 1
11,27,0.3,1,1,Plot 1
12,31,0.6,2,1,Plot 1
13,25,0.4,1,1,Plot 1
14,32,0.5,1,1,Plot 1
15,34,0.5,2,1,Plot 1
16,32,0.5,1,1,Plot 1
17,30,0.4,1,1,Plot 1
18,31,0.5,1,1,Plot 1
19,33,0.5,2,1,Plot 1
20,26,0.6,1,1,Plot 1
21,37,0.6,1,1,Plot 1
22,35,0.5,1,1,Plot 1
23,35,0.4,2,1,Plot 1
24,32,0.6,1,1,Plot 1
25,31,0.5,1,1,Plot 1
26,24,0.6,1,1,Plot 1
27,32,0.7,1,1,Plot 1
28,34,0.5,1,1,Plot 1
29,28,0.5,1,1,Plot 1
30,30,0.4,1,1,Plot 1
31,28,0.5,1,1,Plot 1
32,32,0.5,1,1,Plot 1
33,30,0.5,1,1,Plot 1
34,35,0.5,2,1,Plot 1
35,26,0.6,1,1,Plot 1
36,27,0.6,1,1,Plot 1
37,30,0.7,1,1,Plot 1
38,34,0.7,2,1,Plot 1
39,29,0.6,1,1,Plot 1
40,34,0.5,2,1,Plot 1
41,24,0.3,1,1,Plot 1
42,28,0.6,1,1,Plot 1
43,36,0.6,1,1,Plot 1
44,32,0.5,2,1,Plot 1
45,31,0.4,1,1,Plot 1
46,24,0.5,1,1,Plot 1
47,32,0.5,1,1,Plot 1
48,27,0.6,1,1,Plot 1
49,32,0.5,1,1,Plot 1
50,29,0.5,1,1,Plot 1
1,32,0.5,1,2,Plot 1
2,33,0.5,1,2,Plot 1
3,29,0.6,1,2,Plot 1
4,30,0.6,1,2,Plot 1
5,33,0.5,1,2,Plot 1
6,28,0.5,1,2,Plot 1
7,38,0.7,2,2,Plot 1
8,29,0.7,1,2,Plot 1
9,36,0.6,1,2,Plot 1
10,30,0.5,1,2,Plot 1
11,27,0.4,1,2,Plot 1
12,34,0.6,2,2,Plot 1
13,29,0.4,1,2,Plot 1
14,32,0.6,1,2,Plot 1
15,38,0.7,2,2,Plot 1
16,36,0.6,1,2,Plot 1
17,30,0.4,1,2,Plot 1
18,35,0.6,1,2,Plot 1
19,36,0.7,2,2,Plot 1
20,29,0.6,1,2,Plot 1
21,37,0.6,1,2,Plot 1
22,35,0.6,1,2,Plot 1
23,39,0.6,2,2,Plot 1
24,35,0.5,1,2,Plot 1
25,33,0.6,1,2,Plot 1
26,26,0.7,1,2,Plot 1
27,35,0.8,1,2,Plot 1
28,35,0.6,1,2,Plot 1
29,31,0.5,1,2,Plot 1
30,34,0.4,1,2,Plot 1
31,31,0.6,1,2,Plot 1
32,35,0.6,1,2,Plot 1
33,30,0.5,1,2,Plot 1
34,37,0.6,2,2,Plot 1
35,26,0.6,1,2,Plot 1
36,29,0.6,1,2,Plot 1
37,30,0.7,1,2,Plot 1
38,37,0.7,2,2,Plot 1
39,30,0.6,1,2,Plot 1
40,36,0.5,2,2,Plot 1
41,27,0.4,1,2,Plot 1
42,30,0.6,1,2,Plot 1
43,37,0.6,1,2,Plot 1
44,35,0.6,2,2,Plot 1
45,34,0.5,1,2,Plot 1
46,26,0.6,1,2,Plot 1
47,32,0.5,1,2,Plot 1
